jour,heures_totales,minutes_totales,applications,heures_application,minutes_application,categorie,Evenement
22 novembre,1,37,facebook,0,21,reseaux sociaux,DeadLine TP3 DataViz
22 novembre,1,37,messenger,0,18,reseaux sociaux,DeadLine TP3 DataViz
22 novembre,1,37,discord,0,12,reseaux sociaux,DeadLine TP3 DataViz
22 novembre,1,37,photos ,0,3,creativite,DeadLine TP3 DataViz
22 novembre,1,37,whatsupp,0,2,reseaux sociaux,DeadLine TP3 DataViz
22 novembre,1,37,linkedin,0,1,reseaux sociaux,DeadLine TP3 DataViz
22 novembre,1,37,velov,0,1,voyage,DeadLine TP3 DataViz
22 novembre,1,37,EDT univ,0,1,utilitaire,DeadLine TP3 DataViz
23 novembre,4,16,messenger,2,16,reseaux sociaux,Examen SMA
23 novembre,4,16,Facebook,0,45,reseaux sociaux,Examen SMA
23 novembre,4,16,Discord,0,14,reseaux sociaux,Examen SMA
23 novembre,4,16,Reglage,0,10,utilitaire,Examen SMA
23 novembre,4,16,safari,0,4,creativite,Examen SMA
23 novembre,4,16,yahoo,0,3,reseaux sociaux,Examen SMA
23 novembre,4,16,EDT univ,0,3,utilitaire,Examen SMA
23 novembre,4,16,google,0,2,creativite,Examen SMA
23 novembre,4,16,photos ,0,2,creativite,Examen SMA
23 novembre,4,16,linkedin,0,1,reseaux sociaux,Examen SMA
23 novembre,4,16,whatsupp,0,1,reseaux sociaux,Examen SMA
24 novembre,2,12,Facebook,0,27,reseaux sociaux,
24 novembre,2,12,messenger,0,24,reseaux sociaux,
24 novembre,2,12,Dictaphone,0,14,utilitaire,
24 novembre,2,12,photos ,0,11,creativite,
24 novembre,2,12,Edt univ,0,5,utilitaire,
24 novembre,2,12,Linkedin,0,4,reseaux sociaux,
24 novembre,2,12,Discord,0,3,reseaux sociaux,
24 novembre,2,12,yahoo mail,0,2,reseaux sociaux,
24 novembre,2,12,Whatsupp,0,2,reseaux sociaux,
25 novembre,2,54,Shein,0,51,achats,
25 novembre,2,54,messenger,0,30,reseaux sociaux,
25 novembre,2,54,Dictaphone,0,20,utilitaire,
25 novembre,2,54,Facebook,0,10,reseaux sociaux,
25 novembre,2,54,Discord,0,10,reseaux sociaux,
25 novembre,2,54,Youtube,0,4,divertissement,
25 novembre,2,54,safari,0,3,creativite,
25 novembre,2,54,google map,0,2,voyage,
25 novembre,2,54,Whatsupp,0,1,reseaux sociaux,
25 novembre,2,54,yahoo mail,0,1,reseaux sociaux,
25 novembre,2,54,reglage,0,1,utilitaire,
26 novembre,3,29,messenger,1,2,reseaux sociaux,Black Friday / Oral anglais
26 novembre,3,29,Discord,0,37,reseaux sociaux,Black Friday / Oral anglais
26 novembre,3,29,Google drive,0,31,utilitaire,Black Friday / Oral anglais
26 novembre,3,29,Youtube,0,17,divertissement,Black Friday / Oral anglais
26 novembre,3,29,Dictaphone,0,15,utilitaire,Black Friday / Oral anglais
26 novembre,3,29,Facebook,0,14,reseaux sociaux,Black Friday / Oral anglais
