jour,heures_totales,minutes_totales,applications,heures_application,minutes_application,categorie,Evenement
22/11/2021,1,58,Facebook,0,46,Reseaux sociaux,DeadLine TP3 DataViz
22/11/2021,1,58,Messenger,0,30,Reseaux sociaux,DeadLine TP3 DataViz
22/11/2021,1,58,Instagram,0,18,Reseaux sociaux,DeadLine TP3 DataViz
22/11/2021,1,58,Téléphone,0,8,Utilitaire,DeadLine TP3 DataViz
22/11/2021,1,58,Chrome,0,4,Utilitaire,DeadLine TP3 DataViz
22/11/2021,1,58,Parametres,0,2,Utilitaire,DeadLine TP3 DataViz
22/11/2021,1,58,Discord,0,2,Autre,DeadLine TP3 DataViz
22/11/2021,1,58,Messages,0,1,Utilitaire,DeadLine TP3 DataViz
22/11/2021,1,58,Horloge,0,1,Utilitaire,DeadLine TP3 DataViz
22/11/2021,1,58,WhatsApp,0,1,Reseaux sociaux,DeadLine TP3 DataViz
23/11/2021,3,45,Facebook,1,25,Reseaux sociaux,Examen SMA
23/11/2021,3,45,Téléphone,0,32,Utilitaire,Examen SMA
23/11/2021,3,45,Messenger,0,29,Reseaux sociaux,Examen SMA
23/11/2021,3,45,Instagram,0,23,Reseaux sociaux,Examen SMA
23/11/2021,3,45,Discord,0,16,Autre,Examen SMA
23/11/2021,3,45,Messages,0,11,Utilitaire,Examen SMA
23/11/2021,3,45,Parametres,0,9,Utilitaire,Examen SMA
23/11/2021,3,45,Snapchat,0,9,Reseaux sociaux,Examen SMA
23/11/2021,3,45,WhatsApp,0,2,Reseaux sociaux,Examen SMA
23/11/2021,3,45,Chrome,0,2,Utilitaire,Examen SMA
23/11/2021,3,45,Geev,0,2,Divertissement,Examen SMA
23/11/2021,3,45,Gmail,0,2,Utilitaire,Examen SMA
23/11/2021,3,45,Ryanair,0,1,Voyage,Examen SMA
23/11/2021,3,45,Play Store,0,1,Divertissement,Examen SMA
24/11/2021,5,22,Facebook,2,7,Reseaux sociaux,
24/11/2021,5,22,Discord,1,4,Autre,
24/11/2021,5,22,Horloge,0,47,Utilitaire,
24/11/2021,5,22,Instagram,0,40,Reseaux sociaux,
24/11/2021,5,22,Messages,0,12,Utilitaire,
24/11/2021,5,22,Chrome,0,9,Utilitaire,
24/11/2021,5,22,Téléphone,0,8,Utilitaire,
24/11/2021,5,22,Messenger,0,6,Reseaux sociaux,
24/11/2021,5,22,Maps,0,5,Voyage,
24/11/2021,5,22,Drive,0,2,Utilitaire,
24/11/2021,5,22,Snapchat,0,2,Reseaux sociaux,
24/11/2021,5,22,Gmail,0,1,Utilitaire,
25/11/2021,5,1,Facebook,2,39,Reseaux sociaux,
25/11/2021,5,1,Horloge,0,41,Utilitaire,
25/11/2021,5,1,Instagram,0,19,Reseaux sociaux,
25/11/2021,5,1,Messenger,0,17,Reseaux sociaux,
25/11/2021,5,1,Téléphone,0,15,Utilitaire,
25/11/2021,5,1,WebexMeet,0,13,Utilitaire,
25/11/2021,5,1,Snapchat,0,11,Reseaux sociaux,
25/11/2021,5,1,Discord,0,7,Autre,
25/11/2021,5,1,Chrome,0,4,Utilitaire,
25/11/2021,5,1,Messages,0,3,Utilitaire,
25/11/2021,5,1,Ryanair,0,2,Voyage,
25/11/2021,5,1,Play Store,0,1,Divertissement,
25/11/2021,5,1,Mes Comptes LCL,0,1,Finance,
25/11/2021,5,1,Vélo'v,0,1,Voyage,
26/11/2021,2,31,Facebook,1,15,Reseaux sociaux,Black Friday / Oral anglais
26/11/2021,2,31,Instagram,1,0,Reseaux sociaux,Black Friday / Oral anglais
26/11/2021,2,31,Snapchat,0,15,Reseaux sociaux,Black Friday / Oral anglais
27/11/2021,0,31,Facebook,0,28,Reseaux sociaux,
27/11/2021,0,31,Horloge,0,3,Utilitaire,
28/11/2021,3,30,Facebook,2,0,Reseaux sociaux,
28/11/2021,3,30,Instagram,0,30,Reseaux sociaux,
28/11/2021,3,30,Messenger,1,0,Reseaux sociaux,
29/11/2021,4,19,Facebook,2,7,Reseaux sociaux,
29/11/2021,4,19,Instagram,0,47,Reseaux sociaux,
29/11/2021,4,19,WhatsApp,0,14,Reseaux sociaux,
29/11/2021,4,19,Chrome,0,13,Utilitaire,
29/11/2021,4,19,Youtube,0,10,Divertissement,
29/11/2021,4,19,Téléphone,0,9,Utilitaire,
29/11/2021,4,19,Discord,0,9,Autre,
29/11/2021,4,19,Mes Comptes LCL,0,6,Finance,
29/11/2021,4,19,Horloge,0,6,Utilitaire,
29/11/2021,4,19,Lidl Plus,0,3,Achats,
